class,channel,mean,std
baseline,ch_1,63.18526840209961,2.8851702213287354
baseline,ch_2,0.7991039752960205,0.5417905449867249
baseline,ch_3,33.463199615478516,0.9463539123535156
baseline,ch_4,0.0012642994988709688,0.11420581489801407
baseline,ch_5,0.05774456262588501,3.310908079147339
baseline,ch_6,0.9215109348297119,0.019790705293416977
baseline,ch_7,1.1976778507232666,0.44502365589141846
baseline,ch_8,34.68085479736328,0.4609515368938446
stress,ch_1,63.01103973388672,3.59755802154541
stress,ch_2,2.489523410797119,0.49117234349250793
stress,ch_3,33.43215560913086,0.3805970549583435
stress,ch_4,0.0012530680978670716,0.10974736511707306
stress,ch_5,0.05096103250980377,4.121702671051025
stress,ch_6,0.9313836097717285,0.012117577716708183
stress,ch_7,1.8429350852966309,0.17983873188495636
stress,ch_8,35.4277458190918,0.29410621523857117
amusement,ch_1,63.0741081237793,0.4239192008972168
amusement,ch_2,0.42303982377052307,0.007277404423803091
amusement,ch_3,34.11853790283203,0.0670100599527359
amusement,ch_4,0.0012548097874969244,0.08521369844675064
amusement,ch_5,0.04312704876065254,2.572463035583496
amusement,ch_6,0.9395967721939087,0.003854222595691681
amusement,ch_7,0.9204039573669434,0.010791536420583725
amusement,ch_8,34.40471649169922,0.04820001870393753
meditation,ch_1,63.116050720214844,0.5025007128715515
meditation,ch_2,0.6935508251190186,0.25011757016181946
meditation,ch_3,32.980926513671875,1.3617349863052368
meditation,ch_4,0.0012680554063990712,0.08213426917791367
meditation,ch_5,0.028945114463567734,3.7395989894866943
meditation,ch_6,0.9466086030006409,0.003196813864633441
meditation,ch_7,1.3168460130691528,0.34914225339889526
meditation,ch_8,34.774139404296875,0.21577546000480652
