subject,class,count,pct
S10_combined,baseline,750,65.61679790026247
S10_combined,amusement,77,6.73665791776028
S10_combined,meditation,165,14.435695538057743
S10_combined,stress,151,13.21084864391951
S11_combined,baseline,708,65.0137741046832
S11_combined,stress,141,12.947658402203857
S11_combined,meditation,164,15.059687786960515
S11_combined,amusement,76,6.9788797061524335
S13_combined,baseline,770,66.84027777777777
S13_combined,amusement,80,6.944444444444445
S13_combined,meditation,164,14.23611111111111
S13_combined,stress,138,11.979166666666666
S14_combined,baseline,771,66.81109185441942
S14_combined,stress,141,12.21837088388215
S14_combined,meditation,165,14.298093587521663
S14_combined,amusement,77,6.672443674176776
S15_combined,baseline,708,64.77584629460202
S15_combined,amusement,77,7.044830741079598
S15_combined,meditation,165,15.096065873741994
S15_combined,stress,143,13.083257090576396
S16_combined,baseline,791,67.4914675767918
S16_combined,stress,140,11.945392491467576
S16_combined,meditation,165,14.078498293515358
S16_combined,amusement,76,6.484641638225256
S17_combined,baseline,853,69.23701298701299
S17_combined,amusement,77,6.25
S17_combined,meditation,151,12.256493506493506
S17_combined,stress,151,12.256493506493506
S2_combined,baseline,903,71.38339920948617
S2_combined,stress,128,10.118577075098814
S2_combined,meditation,159,12.569169960474309
S2_combined,amusement,75,5.928853754940712
S3_combined,baseline,979,72.46484085862325
S3_combined,stress,133,9.844559585492227
S3_combined,meditation,161,11.917098445595855
S3_combined,amusement,78,5.773501110288675
S4_combined,baseline,959,71.72774869109948
S4_combined,amusement,78,5.833956619296933
S4_combined,meditation,168,12.565445026178011
S4_combined,stress,132,9.87284966342558
S5_combined,baseline,927,71.19815668202764
S5_combined,amusement,77,5.913978494623656
S5_combined,meditation,164,12.596006144393241
S5_combined,stress,134,10.291858678955453
S6_combined,baseline,1096,74.45652173913044
S6_combined,stress,135,9.171195652173912
S6_combined,meditation,164,11.141304347826088
S6_combined,amusement,77,5.230978260869565
S7_combined,baseline,716,65.68807339449542
S7_combined,amusement,77,7.064220183486238
S7_combined,meditation,164,15.045871559633028
S7_combined,stress,133,12.20183486238532
S8_combined,baseline,756,66.49076517150395
S8_combined,amusement,77,6.772207563764292
S8_combined,meditation,165,14.511873350923484
S8_combined,stress,139,12.225153913808267
S9_combined,baseline,712,65.50137994480221
S9_combined,stress,134,12.32750689972401
S9_combined,meditation,164,15.087396504139834
S9_combined,amusement,77,7.083716651333947
