subject,class,count,pct
S10_combined,baseline,471,38.48039215686274
S10_combined,stress,289,23.61111111111111
S10_combined,amusement,147,12.009803921568627
S10_combined,meditation,317,25.898692810457515
S11_combined,baseline,471,39.15211970074813
S11_combined,stress,271,22.52701579384871
S11_combined,amusement,146,12.136325852036576
S11_combined,meditation,315,26.184538653366584
S13_combined,baseline,471,39.1846921797005
S13_combined,stress,264,21.96339434276206
S13_combined,amusement,151,12.562396006655574
S13_combined,meditation,316,26.289517470881865
S14_combined,baseline,471,39.15211970074813
S14_combined,stress,269,22.360764754779716
S14_combined,amusement,147,12.219451371571072
S14_combined,meditation,316,26.267664172901082
S15_combined,baseline,469,38.92116182572614
S15_combined,stress,273,22.65560165975104
S15_combined,amusement,147,12.199170124481327
S15_combined,meditation,316,26.224066390041493
S16_combined,baseline,471,39.25
S16_combined,stress,268,22.333333333333332
S16_combined,amusement,146,12.166666666666666
S16_combined,meditation,315,26.25
S17_combined,baseline,471,39.34837092731829
S17_combined,stress,288,24.06015037593985
S17_combined,amusement,147,12.280701754385966
S17_combined,meditation,291,24.31077694235589
S2_combined,baseline,456,39.65217391304348
S2_combined,stress,245,21.304347826086957
S2_combined,amusement,143,12.434782608695652
S2_combined,meditation,306,26.608695652173914
S3_combined,baseline,455,38.888888888888886
S3_combined,stress,255,21.794871794871796
S3_combined,amusement,149,12.735042735042734
S3_combined,meditation,311,26.581196581196583
S4_combined,baseline,462,39.053254437869825
S4_combined,stress,253,21.386306001690617
S4_combined,amusement,147,12.42603550295858
S4_combined,meditation,321,27.13440405748098
S5_combined,baseline,478,39.866555462885735
S5_combined,stress,257,21.434528773978315
S5_combined,amusement,148,12.343619683069225
S5_combined,meditation,316,26.355296080066722
S6_combined,baseline,471,39.57983193277311
S6_combined,stress,259,21.764705882352942
S6_combined,amusement,147,12.352941176470589
S6_combined,meditation,313,26.30252100840336
S7_combined,baseline,473,39.747899159663866
S7_combined,stress,255,21.428571428571427
S7_combined,amusement,147,12.352941176470589
S7_combined,meditation,315,26.470588235294116
S8_combined,baseline,466,38.96321070234114
S8_combined,stress,267,22.32441471571906
S8_combined,amusement,146,12.207357859531772
S8_combined,meditation,317,26.505016722408026
S9_combined,baseline,471,39.54659949622166
S9_combined,stress,257,21.578505457598656
S9_combined,amusement,147,12.34256926952141
S9_combined,meditation,316,26.532325776658272
